,highlights,paraphrased_highlights
334,The role of the hiatus hernia in gastro-oesophageal reflux disease.,The role of hiatus hernia in gastro-oesophageal reflux disease.
335,Outcome after implantation of a novel prosthetic anal sphincter in humans.,Outcome after the implantation of a novel prosthetic anal sphincter in humans
336,"Eosinophilic esophagitis: red on microscopy, white on endoscopy.",Eosinophilic esophagitis: red on microscopy and white on endoscopy.
337,Cardiovascular risk and COX-2 inhibition in rheumatological practice.,Cardiovascular risk and COX-2 inhibition in rheumatolary practice.
338,Modulation of sleep quality and autonomic functioning by symptoms of depression in women with irritable bowel syndrome.,Modulation of sleep quality and autonomic functioning by symptoms of depression in women with irritable bowel syndrome.
339,Nutritional status of surgical patients and the relationship of nutrition to postoperative outcome.,The nutritional status of surgical patients and the relationship between nutrition and postoperative outcome
340,Multiple lymphomatous polyposis of the gastrointestinal tract.,Multiple lymphomatous polyposis of the gastrointestinal tract.
341,Development of clinical celiac disease after pancreatoduodenectomy: a potential complication of major upper abdominal surgery.,Development of clinical celiac disease after pancreatoduodenectomy: a potential complication of major upper abdominal surgery.
342,"Effects of etifoxine on stress-induced hyperthermia, freezing behavior and colonic motor activation in rats.","Effects of etifoxine on stress-induced hyperthermia, freezing behavior and colonic motor activation in rats"
343,Small-bowel diseases: prospective evaluation of multi-detector row helical CT enteroclysis in 107 consecutive patients.,Small bowel diseases: prospective evaluation of multi-detector row helical CT enteroclysis in 107 consecutive patients.
344,Chemotherapy-associated enterocolitis--a rare but potentially lethal side effect of adjuvant breast cancer treatment: a case report.,Chemotherapy-associated enterocolitis -- a rare but potentially lethal side effect of adjuvant breast cancer treatment : a case report
345,Clinical study on the effects of nizatidine on gastric motility and cardiac autonomic function. Investigations using electrogastrography and spectral analysis of heart rate variability.,Clinical study on the effects of nizatidine on gastric motility and cardiac autonomic function; investigations using electrogastrography and spectral analysis of heart rate variability
346,Voluntary control of electrogastric activity.,Voluntary control of electrogastric activity.
347,Equivalence study of a topical diclofenac solution (pennsaid) compared with oral diclofenac in symptomatic treatment of osteoarthritis of the knee: a randomized controlled trial.,Equivalence study of a topical diclofenac solution (pennaid) in symptomatic treatment of osteoarthritis of the knee: a randomized controlled trial.
348,Central nervous system paracoccidioidomycosis: case report and review.,Paracoccidioidomycosis: case report and review.
349,Diagnostic difficulties in pouchitis--experience from a single institution.,Diagnostic difficulties in pouchitis experience from a single institution
350,Impaired gastric acid and pancreatic enzyme secretion in patients with Crohn's disease may be a consequenece of a poor nutritional state.,Dietary errors of gastric acid and pancreatic enzyme secretion in patients with Crohn's disease can be the consequence of a poor nutritional state.
351,Bariatric surgery.,Bariatric surgery.
352,"Comparison of the effects of telmisartan and nifedipine gastrointestinal therapeutic system on blood pressure control, glucose metabolism, and the lipid profile in patients with type 2 diabetes mellitus and mild hypertension: a 12-month, randomized, double-blind study.","Comparison of the effects of telmisartan and nifedipine on the gastrointestinal therapeutic system on blood pressure control, glucose metabolism and the lipid profile in patients with type 2 diabetes mellitus and mild hypertension: a 12-month, randomized, double-blind study"
353,"Effects of valdecoxib in the treatment of chronic low back pain: results of a randomized, placebo-controlled trial.","Effects of Valdecoxib in the treatment of chronic low back pain: results of a randomized, placebo controlled trial"
354,Obesity and gastro-esophageal acid reflux: physiopathological mechanisms and role of gastric bariatric surgery.,Obesity and gastro-esophageal acid reflux: physiopathological mechanisms and role of gastric bariatric surgery.
355,Subjective Global Assessment in chronic kidney disease: a review.,Subjective global assessment in chronic kidney disease : a review.
356,Upper gastrointestinal endoscopy: are preparatory interventions or conscious sedation effective? A randomized trial.,A randomized trial of upper gastro - endoscopy and are the preparatory interventions or conscious sedation effective.
357,Deaths due to hunger strike: post-mortem findings.,Deaths due to the hunger strike: post-mortem findings.
358,Safety of dobutamine stress transesophageal echocardiography in obese patients for evaluation of potential ischemic heart disease.,Safety of dobutamine stress transesophageal echocardiography in obese patients for the evaluation of potential ischemic heart disease.
359,Diagnosis and grading of gastritis by non-invasive optical analysis.,Diagnosis and grading of gastritis by non-invasive optical analysis
360,Necrotizing enterocolitis in infants: clinical outcome and influence on growth and neurodevelopment.,Necrotizing enterocolitis in infants: clinical outcome and influence on growth and neurodevelopment.
361,Early effects of Helicobacter pylori infection in patients undergoing bariatric surgery.,Early effects of Helicobacter pylori infection on patients undergoing bariatric surgery
362,A randomized controlled trial of gastric lavage prior to endoscopy for acute upper gastrointestinal bleeding.,A controlled randomized trial of gastric lavage prior to endoscopy for acute upper gastrointestinal bleeding
363,Chronic symptoms after subtotal or partial oesophagectomy: diagnosis and treatment.,Chronic symptoms after subtotal or partial oesophageectomy: diagnosis and treatment
364,Prevalence of Helicobacter pylori infection among patients with dyspepsia in South-Western Saudi Arabia.,Prevalence of Helicobacter pylori infection in patients with dyspepsia in South-Western Saudi Arabia
365,A man from Surinam with haemorrhagic diarrhoea after long-standing schistosomiasis.,A man from Surinam with hemorrhagic diarrhoea after a long-term schistosomiasis.
366,Is the renal excretion of orally applied diatrizoate (Gastrografin) a reliable marker of gastrointestinal perforation or dehiscence of a gastrointestinal anastomosis?.,Is the renal excretion of the absorbed diatrizoate (Gastrografin) orally a reliable marker of gastrointestinal perforation or dehiscence of a gastroanastomosis?
367,Isolated Crohn's disease of the appendix as a source of enterorrhagia.,Isolated Crohn’s Disease of the Appendix as a source of enterosarcoma
368,A review of incisional hernia repairs: preoperative weight loss and selective use of the mesh repair.,A review of incisional hernia repair: preoperative weight loss and selective use of the mesh repair
369,Results of an intestinal transplantation program in Spain. Five years later.,Results of an intestinal transplantation program in Spain five years later.
370,Effects of exenatide (exendin-4) on glycemic control over 30 weeks in sulfonylurea-treated patients with type 2 diabetes.,Effects of exenatide (exendin-4) on glycemic control over 30 weeks in sulfonylurea-treated patients with type 2 diabetes.
